Total Snippets: 31801
Incomplete Snippets: 22874
Recognized Snippets: 21153
Unrecognized Snippets: 21153
Accepted Snippets: 11132
Average View Count (Total):10890.918996257979
Average Score (Total):3.014873746108613
Average Score (Recognized):4.532501300052002
0,2521
-1,57
1,8103
-2,8
2,3802
-3,2
3,2007
-4,2
4,1186
2052,1
5,700
6,460
7,389
8,233
9,205
-10,2
10,174
11,148
12,97
13,76
14,79
15,59
16,65
17,62
18,47
19,43
20,35
21,27
22,22
23,22
24,22
25,17
26,18
27,17
28,12
29,17
285,1
30,13
31,14
32,12
33,14
34,18
35,7
36,8
37,12
38,10
294,1
39,11
40,9
41,6
42,5
43,6
44,4
45,9
557,1
46,4
47,7
48,1
49,9
50,7
51,5
52,8
53,6
54,4
55,6
56,5
57,4
58,5
59,4
60,4
61,4
62,6
63,5
64,5
321,1
65,2
66,2
67,1
68,4
69,3
70,1
71,2
72,4
73,1
330,1
74,4
75,4
76,2
77,1
78,1
79,1
80,3
81,3
82,2
83,2
84,1
86,1
87,1
344,1
88,2
89,2
91,3
92,2
93,3
94,1
95,1
96,2
97,1
98,1
100,1
101,2
102,1
615,1
104,1
105,2
106,1
107,1
109,1
110,1
111,1
112,2
113,2
369,1
117,1
118,1
121,1
122,1
379,1
124,2
126,3
130,1
133,1
1159,1
135,1
136,1
141,2
397,1
143,1
144,1
145,1
146,1
1427,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
159,1
160,2
161,2
931,1
164,1
170,3
176,1
184,1
186,1
443,1
187,1
446,1
191,1
197,1
200,1
457,1
459,1
204,1
205,2
207,1
208,1
210,1
472,1
216,1
222,2
231,1
232,1
233,1
238,1
240,1
496,1
246,1
248,1
250,1
1023,1
